industry,name,quoteType,sector,symbol
Staffing & Employment Services,"Volt Information Sciences, Inc.",EQUITY,Industrials,VOLT
Pollution & Treatment Controls,PURATION INC,EQUITY,Industrials,PURA
Banks—Regional,"Northwest Bancshares, Inc.",EQUITY,Financial Services,NWBI
Software—Infrastructure,"Kaltura, Inc.",EQUITY,Technology,KLTR
Drug Manufacturers—Specialty & Generic,CBD LIFE SCIENCES INC,EQUITY,Healthcare,CBDL
Software—Infrastructure,"IronNet, Inc.",EQUITY,Technology,IRNT
Biotechnology,"aTyr Pharma, Inc.",EQUITY,Healthcare,LIFE
Beverages—Brewers,Ambev S.A.,EQUITY,Consumer Defensive,ABEV
Biotechnology,"Surface Oncology, Inc.",EQUITY,Healthcare,SURF
Asset Management,"Victory Capital Holdings, Inc. ",EQUITY,Financial Services,VCTR
Internet Content & Information,Alphabet Inc.,EQUITY,Communication Services,GOOG
Software—Application,Riskified Ltd.,EQUITY,Technology,RSKD
Software—Infrastructure,Greenbox POS,EQUITY,Technology,GBOX
Software—Infrastructure,Tuya Inc.,EQUITY,Technology,TUYA
Biotechnology,"Regeneron Pharmaceuticals, Inc.",EQUITY,Healthcare,REGN
Apparel Retail,"Citi Trends, Inc.",EQUITY,Consumer Cyclical,CTRN
REIT—Specialty,NEWLAKE CAP PARTNERS INC,EQUITY,Real Estate,NLCP
Banks—Regional,Umpqua Holdings Corporation,EQUITY,Financial Services,UMPQ
Consulting Services,"Verisk Analytics, Inc.",EQUITY,Industrials,VRSK
Banks—Regional,"New York Community Bancorp, Inc",EQUITY,Financial Services,NYCB
Drug Manufacturers—Specialty & Generic,"Amphastar Pharmaceuticals, Inc.",EQUITY,Healthcare,AMPH
Oil & Gas E&P,Imperial Petroleum Inc.,EQUITY,Energy,IMPP
Internet Content & Information,"Nextdoor Holdings, Inc.",EQUITY,Communication Services,KIND
Biotechnology,"Imago BioSciences, Inc.",EQUITY,Healthcare,IMGO
Biotechnology,TC BioPharm (Holdings) plc,EQUITY,Healthcare,TCBP
Banks—Regional,"Financial Institutions, Inc.",EQUITY,Financial Services,FISI
Software—Infrastructure,Endava plc,EQUITY,Technology,DAVA
"Furnishings, Fixtures & Appliances",Hooker Furnishings Corporation,EQUITY,Consumer Cyclical,HOFT
Banks—Regional,Peoples Bancorp Inc.,EQUITY,Financial Services,PEBO
Building Products & Equipment,"View, Inc.",EQUITY,Industrials,VIEW
Tools & Accessories,"ToughBuilt Industries, Inc.",EQUITY,Industrials,TBLT
Banks—Regional,"Banc of California, Inc.",EQUITY,Financial Services,BANC
Medical Devices,"iRhythm Technologies, Inc.",EQUITY,Healthcare,IRTC
REIT—Specialty,CyrusOne Inc,EQUITY,Real Estate,CONE
Tobacco,"Greenlane Holdings, Inc.",EQUITY,Consumer Defensive,GNLN
Medical Devices,"Motus GI Holdings, Inc.",EQUITY,Healthcare,MOTS
Communication Equipment,"Vislink Technologies, Inc.",EQUITY,Technology,VISL
Paper & Paper Products,Mercer International Inc.,EQUITY,Basic Materials,MERC
Software—Application,Smartsheet Inc.,EQUITY,Technology,SMAR
Apparel Retail,"Children's Place, Inc. (The)",EQUITY,Consumer Cyclical,PLCE
Oil & Gas Refining & Marketing,"Renewable Energy Group, Inc.",EQUITY,Energy,REGI
Software—Application,Intuit Inc.,EQUITY,Technology,INTU
Biotechnology,"NexImmune, Inc.",EQUITY,Healthcare,NEXI
Travel Services,Booking Holdings Inc. Common St,EQUITY,Consumer Cyclical,BKNG
Packaged Foods,"Lifeway Foods, Inc.",EQUITY,Consumer Defensive,LWAY
Real Estate Services,KE Holdings Inc,EQUITY,Real Estate,BEKE
Oil & Gas Midstream,Golar LNG Limited,EQUITY,Energy,GLNG
Internet Retail,eBay Inc.,EQUITY,Consumer Cyclical,EBAY
Biotechnology,"Edesa Biotech, Inc.",EQUITY,Healthcare,EDSA
Insurance—Specialty,"Ryan Specialty Group Holdings, ",EQUITY,Financial Services,RYAN
Software—Application,Snowflake Inc.,EQUITY,Technology,SNOW
Health Information Services,SOPHiA GENETICS SA,EQUITY,Healthcare,SOPH
Banks—Regional,Banco BBVA Argentina S.A.,EQUITY,Financial Services,BBAR
Engineering & Construction,Aenza S.A.A.,EQUITY,Industrials,AENZ
Communication Equipment,Zebra Technologies Corporation,EQUITY,Technology,ZBRA
Information Technology Services,Cognizant Technology Solutions ,EQUITY,Technology,CTSH
Software—Application,Dave Inc.,EQUITY,Technology,DAVE
REIT—Residential,Invitation Homes Inc.,EQUITY,Real Estate,INVH
Biotechnology,Angion Biomedica Corp.,EQUITY,Healthcare,ANGN
Food Distribution,"Calavo Growers, Inc.",EQUITY,Consumer Defensive,CVGW
Oil & Gas Midstream,Kinetik Holdings Inc.,EQUITY,Energy,KNTK
Biotechnology,Nektar Therapeutics,EQUITY,Healthcare,NKTR
Oil & Gas Midstream,Evolve Transition Infrastructur,EQUITY,Energy,SNMP
Electrical Equipment & Parts,Atkore Inc.,EQUITY,Industrials,ATKR
Resorts & Casinos,"Penn National Gaming, Inc.",EQUITY,Consumer Cyclical,PENN
Auto Parts,"Commercial Vehicle Group, Inc.",EQUITY,Consumer Cyclical,CVGI
Communication Equipment,Ciena Corporation,EQUITY,Technology,CIEN
Aerospace & Defense,"Virgin Galactic Holdings, Inc.",EQUITY,Industrials,SPCE
Information Technology Services,Concentrix Corporation,EQUITY,Technology,CNXC
Health Information Services,American Well Corporation,EQUITY,Healthcare,AMWL
Auto Parts,Aptiv PLC,EQUITY,Consumer Cyclical,APTV
Consumer Electronics,Koss Corporation,EQUITY,Technology,KOSS
Biotechnology,"AlloVir, Inc.",EQUITY,Healthcare,ALVR
