industry,name,quoteType,sector,symbol
Diagnostics & Research,"Agilent Technologies, Inc.",EQUITY,Healthcare,A
Specialty Industrial Machinery,"Barnes Group, Inc.",EQUITY,Industrials,B
Banks—Diversified,"Citigroup, Inc.",EQUITY,Financial Services,C
Utilities—Regulated Electric,"Dominion Energy, Inc.",EQUITY,Utilities,D
Oil & Gas Integrated,ENI S.p.A.,EQUITY,Energy,E
Auto Manufacturers,Ford Motor Company,EQUITY,Consumer Cyclical,F
Information Technology Services,Genpact Limited,EQUITY,Technology,G
Lodging,Hyatt Hotels Corporation,EQUITY,Consumer Cyclical,H
Engineering & Construction,Jacobs Engineering Group Inc.,EQUITY,Industrials,J
Packaged Foods,Kellogg Company,EQUITY,Consumer Defensive,K
Insurance—Property & Casualty,Loews Corporation,EQUITY,Financial Services,L
Department Stores,Macy's Inc,EQUITY,Consumer Cyclical,M
REIT—Retail,Realty Income Corporation,EQUITY,Real Estate,O
Rental & Leasing Services,"Ryder System, Inc.",EQUITY,Industrials,R
Software—Infrastructure,"SentinelOne, Inc.",EQUITY,Technology,S
Telecom Services,AT&T Inc.,EQUITY,Communication Services,T
Credit Services,Visa Inc.,EQUITY,Financial Services,V
Oil & Gas Midstream,Antero Midstream Corporation,EQUITY,Energy,AM
Information Technology Services,"C3.ai, Inc.",EQUITY,Technology,AI
Silver,First Majestic Silver Corp.,EQUITY,Basic Materials,AG
Internet Retail,Wayfair Inc.,EQUITY,Consumer Cyclical,W
Rental & Leasing Services,Air Lease Corporation,EQUITY,Industrials,AL
Insurance—Property & Casualty,Alleghany Corporation,EQUITY,Financial Services,Y
Oil & Gas Refining & Marketing,"Adams Resources & Energy, Inc.",EQUITY,Energy,AE
Steel,United States Steel Corporation,EQUITY,Basic Materials,X
Capital Markets,"Associated Capital Group, Inc.",EQUITY,Financial Services,AC
Aluminum,Alcoa Corporation,EQUITY,Basic Materials,AA
Internet Content & Information,"Zillow Group, Inc.",EQUITY,Communication Services,Z
Asset Management,AllianceBernstein Holding L.P.,EQUITY,Financial Services,AB
Software—Application,Unity Software Inc.,EQUITY,Technology,U
Oil & Gas E&P,Antero Resources Corporation,EQUITY,Energy,AR
Specialty Industrial Machinery,Parker-Hannifin Corporation,EQUITY,Industrials,PH
Insurance—Property & Casualty,Chubb Limited,EQUITY,Financial Services,CB
Internet Content & Information,"Meta Platforms, Inc.",EQUITY,Communication Services,FB
Grocery Stores,Grocery Outlet Holding Corp.,EQUITY,Consumer Defensive,GO
Oil & Gas E&P,SM Energy Company,EQUITY,Energy,SM
Building Products & Equipment,Owens Corning Inc,EQUITY,Industrials,OC
Credit Services,LexinFintech Holdings Ltd.,EQUITY,Financial Services,LX
Shell Companies,Zimmer Energy Transition Acquis,EQUITY,Financial Services,ZT
Oil & Gas Midstream,Energy Transfer LP,EQUITY,Energy,ET
Credit Services,Qudian Inc.,EQUITY,Financial Services,QD
Specialty Industrial Machinery,Curtiss-Wright Corporation,EQUITY,Industrials,CW
Software—Application,Onion Global Limited,EQUITY,Technology,OG
Software—Application,"Zoom Video Communications, Inc.",EQUITY,Technology,ZM
Leisure,Brunswick Corporation,EQUITY,Consumer Cyclical,BC
Auto Manufacturers,Li Auto Inc.,EQUITY,Consumer Cyclical,LI
Information Technology Services,"Gartner, Inc.",EQUITY,Technology,IT
Advertising Agencies,"Ziff Davis, Inc.",EQUITY,Communication Services,ZD
Communication Equipment,Knowles Corporation,EQUITY,Technology,KN
REIT—Specialty,Weyerhaeuser Company,EQUITY,Real Estate,WY
Chemicals,Zymergen Inc.,EQUITY,Basic Materials,ZY
Oil & Gas Equipment & Services,Tenaris S.A.,EQUITY,Energy,TS
Metal Fabrication,Tredegar Corporation,EQUITY,Industrials,TG
Discount Stores,"BJ's Wholesale Club Holdings, I",EQUITY,Consumer Defensive,BJ
Software—Application,ZoomInfo Technologies Inc.,EQUITY,Technology,ZI
Credit Services,Jianpu Technology Inc.,EQUITY,Financial Services,JT
Banks—Regional,"Prosperity Bancshares, Inc.",EQUITY,Financial Services,PB
Software—Application,"PagerDuty, Inc.",EQUITY,Technology,PD
Internet Retail,"PARTS iD, Inc.",EQUITY,Consumer Cyclical,ID
Software—Application,"DoubleVerify Holdings, Inc.",EQUITY,Technology,DV
Credit Services,Mastercard Incorporated,EQUITY,Financial Services,MA
Capital Markets,"Goldman Sachs Group, Inc. (The)",EQUITY,Financial Services,GS
Restaurants,"Sweetgreen, Inc.",EQUITY,Consumer Cyclical,SG
Semiconductors,"Micron Technology, Inc.",EQUITY,Technology,MU
Confectioners,"Tootsie Roll Industries, Inc.",EQUITY,Consumer Defensive,TR
Internet Retail,"JD.com, Inc.",EQUITY,Consumer Cyclical,JD
Insurance—Reinsurance,"Everest Re Group, Ltd.",EQUITY,Financial Services,RE
Aerospace & Defense,EHang Holdings Limited,EQUITY,Industrials,EH
Utilities—Regulated Gas,NiSource Inc,EQUITY,Utilities,NI
Auto Parts,XL Fleet Corp.,EQUITY,Consumer Cyclical,XL
Scientific & Technical Instruments,Sensata Technologies Holding pl,EQUITY,Technology,ST
Personal Services,"WW International, Inc.",EQUITY,Consumer Cyclical,WW
Healthcare Plans,Cigna Corporation,EQUITY,Healthcare,CI
REIT—Hotel & Motel,Park Hotels & Resorts Inc.,EQUITY,Real Estate,PK
Communication Equipment,Ubiquiti Inc.,EQUITY,Technology,UI
Specialty Retail,Boqii Holding Limited,EQUITY,Consumer Cyclical,BQ
Asset Management,Franklin Universal Trust,EQUITY,Financial Services,FT
Specialty Chemicals,"DuPont de Nemours, Inc.",EQUITY,Basic Materials,DD
Broadcasting,Grupo Televisa S.A.,EQUITY,Communication Services,TV
Software—Infrastructure,"Marqeta, Inc.",EQUITY,Technology,MQ
Software—Application,"Eventbrite, Inc.",EQUITY,Technology,EB
Auto Manufacturers,General Motors Company,EQUITY,Consumer Cyclical,GM
Chemicals,FutureFuel Corp.,EQUITY,Basic Materials,FF
Household & Personal Products,"Estee Lauder Companies, Inc. (T",EQUITY,Consumer Defensive,EL
Banks—Regional,Deutsche Bank AG,EQUITY,Financial Services,DB
Packaging & Containers,International Paper Company,EQUITY,Consumer Cyclical,IP
Consulting Services,Franklin Covey Company,EQUITY,Industrials,FC
Medical Devices,Edwards Lifesciences Corporatio,EQUITY,Healthcare,EW
Auto Manufacturers,Toyota Motor Corporation,EQUITY,Consumer Cyclical,TM
Steel,Ternium S.A. Ternium S.A.,EQUITY,Basic Materials,TX
Utilities—Renewable,Atlantica Sustainable Infrastru,EQUITY,Utilities,AY
Internet Content & Information,"iQIYI, Inc.",EQUITY,Communication Services,IQ
Oil & Gas Drilling,Noble Corporation plc,EQUITY,Energy,NE
Household & Personal Products,Unilever PLC,EQUITY,Consumer Defensive,UL
Gold,Novagold Resources Inc.,EQUITY,Basic Materials,NG
Software—Application,Qualtrics International Inc.,EQUITY,Technology,XM
Education & Training Services,iHuman Inc.,EQUITY,Consumer Defensive,IH
Asset Management,"New Germany Fund, Inc. (The)",EQUITY,Financial Services,GF
Farm & Heavy Construction Machinery,Deere & Company,EQUITY,Industrials,DE
Gold,Hecla Mining Company,EQUITY,Basic Materials,HL
Utilities—Regulated Electric,FirstEnergy Corp.,EQUITY,Utilities,FE
Capital Markets,XP Inc.,EQUITY,Financial Services,XP
Home Improvement Retail,"Home Depot, Inc. (The)",EQUITY,Consumer Cyclical,HD
Marine Shipping,"Safe Bulkers, Inc",EQUITY,Industrials,SB
Software—Infrastructure,BlackBerry Limited,EQUITY,Technology,BB
Utilities—Regulated Electric,Southern Company (The),EQUITY,Utilities,SO
Electronic Gaming & Multimedia,Versus Systems Inc.,EQUITY,Communication Services,VS
Diagnostics & Research,23andMe Holding Co.,EQUITY,Healthcare,ME
Real Estate—Development,"Belpointe PREP, LLC",EQUITY,Real Estate,OZ
Household & Personal Products,"United-Guardian, Inc.",EQUITY,Consumer Defensive,UG
Utilities—Regulated Electric,Eversource Energy (D/B/A),EQUITY,Utilities,ES
Health Information Services,Definitive Healthcare Corp.,EQUITY,Healthcare,DH
Communication Equipment,"Impinj, Inc.",EQUITY,Technology,PI
Software—Infrastructure,"Block, Inc.",EQUITY,Technology,SQ
Airports & Air Services,Wheels Up Experience Inc.,EQUITY,Industrials,UP
Information Technology Services,"Broadridge Financial Solutions,",EQUITY,Technology,BR
REIT—Diversified,Urban Edge Properties,EQUITY,Real Estate,UE
Utilities—Regulated Electric,"Consolidated Edison, Inc.",EQUITY,Utilities,ED
Steel,Arcelor Mittal NY Registry Shar,EQUITY,Basic Materials,MT
Shell Companies,Primavera Capital Acquisition C,EQUITY,Financial Services,PV
Aerospace & Defense,A2Z Smart Technologies Corp.,EQUITY,Industrials,AZ
Banks—Regional,Woori Financial Group Inc.,EQUITY,Financial Services,WF
Oil & Gas Midstream,Teekay Corporation,EQUITY,Energy,TK
Auto Manufacturers,GreenPower Motor Company Inc.,EQUITY,Consumer Cyclical,GP
Household & Personal Products,Procter & Gamble Company (The),EQUITY,Consumer Defensive,PG
Oil & Gas Midstream,Nustar Energy L.P.,EQUITY,Energy,NS
Farm Products,Bunge Limited Bunge Limited,EQUITY,Consumer Defensive,BG
Asset Management,"P10, Inc.",EQUITY,Financial Services,PX
Marine Shipping,OceanPal Inc.,EQUITY,Industrials,OP
Credit Services,Western Union Company (The),EQUITY,Financial Services,WU
Computer Hardware,"Desktop Metal, Inc.",EQUITY,Technology,DM
Banks—Regional,Regions Financial Corporation,EQUITY,Financial Services,RF
Thermal Coal,"NACCO Industries, Inc.",EQUITY,Energy,NC
Farm & Heavy Construction Machinery,"Hyster-Yale Materials Handling,",EQUITY,Industrials,HY
Banks—Regional,"Axos Financial, Inc.",EQUITY,Financial Services,AX
Real Estate Services,Q&K International Group Limited,EQUITY,Real Estate,QK
Personal Services,Smart Share Global Limited,EQUITY,Consumer Cyclical,EM
REIT—Healthcare Facilities,Healthcare Realty Trust Incorpo,EQUITY,Real Estate,HR
Packaging & Containers,"O-I Glass, Inc.",EQUITY,Consumer Cyclical,OI
Telecom Services,Telus Corporation,EQUITY,Communication Services,TU
Mortgage Finance,"Walker & Dunlop, Inc",EQUITY,Financial Services,WD
Real Estate Services,WeWork Inc.,EQUITY,Real Estate,WE
Staffing & Employment Services,KANZHUN LIMITED - American Depo,EQUITY,Industrials,BZ
REIT—Industrial,"First Industrial Realty Trust, ",EQUITY,Real Estate,FR
Telecom Services,KT Corporation,EQUITY,Communication Services,KT
Software—Application,"Dynatrace, Inc.",EQUITY,Technology,DT
Credit Services,Regional Management Corp.,EQUITY,Financial Services,RM
Specialty Industrial Machinery,Ingersoll Rand Inc.,EQUITY,Industrials,IR
Banks—Diversified,Nu Holdings Ltd.,EQUITY,Financial Services,NU
Utilities—Diversified,"Hawaiian Electric Industries, I",EQUITY,Utilities,HE
Building Materials,"Cemex, S.A.B. de C.V. Sponsored",EQUITY,Basic Materials,CX
Electrical Equipment & Parts,"Kimball Electronics, Inc.",EQUITY,Industrials,KE
Auto Parts,The Goodyear Tire & Rubber Comp,EQUITY,Consumer Cyclical,GT
Specialty Industrial Machinery,General Electric Company,EQUITY,Industrials,GE
Shell Companies,Spring Valley Acquisition Corp.,EQUITY,Financial Services,SV
Telecom Services,Verizon Communications Inc.,EQUITY,Communication Services,VZ
Oil & Gas Equipment & Services,Ion Geophysical Corporation,EQUITY,Energy,IO
Restaurants,Biglari Holdings Inc.,EQUITY,Consumer Cyclical,BH
Semiconductor Equipment & Materials,DAQO New Energy Corp.,EQUITY,Technology,DQ
Health Information Services,So-Young International Inc. - A,EQUITY,Healthcare,SY
Internet Retail,Yunji Inc. - American Depositor,EQUITY,Consumer Cyclical,YJ
Specialty Chemicals,Chemours Company (The),EQUITY,Basic Materials,CC
Airlines,"Hawaiian Holdings, Inc.",EQUITY,Industrials,HA
Credit Services,Santander Consumer USA Holdings,EQUITY,Financial Services,SC
Banks—Diversified,Canadian Imperial Bank of Comme,EQUITY,Financial Services,CM
Internet Content & Information,"Zillow Group, Inc.",EQUITY,Communication Services,ZG
Capital Markets,Tradeweb Markets Inc.,EQUITY,Financial Services,TW
Agricultural Inputs,"CF Industries Holdings, Inc.",EQUITY,Basic Materials,CF
Credit Services,Orix Corp,EQUITY,Financial Services,IX
Specialty Retail,"Lands' End, Inc.",EQUITY,Consumer Cyclical,LE
Asset Management,Jupai Holdings Limited,EQUITY,Financial Services,JP
Oil & Gas Equipment & Services,"Newpark Resources, Inc.",EQUITY,Energy,NR
Specialty Retail,TravelCenters of America Inc.,EQUITY,Consumer Cyclical,TA
Asset Management,The Carlyle Group Inc.,EQUITY,Financial Services,CG
Specialty Business Services,SP Plus Corporation,EQUITY,Industrials,SP
Electrical Equipment & Parts,Bloom Energy Corporation,EQUITY,Industrials,BE
Diagnostics & Research,Global Cord Blood Corporation,EQUITY,Healthcare,CO
Internet Content & Information,Zhihu Inc.,EQUITY,Communication Services,ZH
Grocery Stores,Missfresh Limited,EQUITY,Consumer Defensive,MF
Electronic Components,Fabrinet,EQUITY,Technology,FN
Oil & Gas Integrated,BP p.l.c.,EQUITY,Energy,BP
Internet Content & Information,Weibo Corporation,EQUITY,Communication Services,WB
Semiconductors,ON Semiconductor Corporation,EQUITY,Technology,ON
Paper & Paper Products,"Neenah, Inc.",EQUITY,Basic Materials,NP
Capital Markets,Moelis & Company,EQUITY,Financial Services,MC
Railroads,Canadian Pacific Railway Limite,EQUITY,Industrials,CP
Software—Infrastructure,"BlackLine, Inc.",EQUITY,Technology,BL
Credit Services,Pintec Technology Holdings Limi,EQUITY,Financial Services,PT
Asset Management,Blackstone Inc.,EQUITY,Financial Services,BX
Diagnostics & Research,"Guardant Health, Inc.",EQUITY,Healthcare,GH
Banks—Regional,"Byline Bancorp, Inc.",EQUITY,Financial Services,BY
Diagnostics & Research,Laboratory Corporation of Ameri,EQUITY,Healthcare,LH
Home Improvement Retail,"LL Flooring Holdings, Inc.",EQUITY,Consumer Cyclical,LL
Internet Content & Information,JOYY Inc.,EQUITY,Communication Services,YY
Auto Parts,QuantumScape Corporation,EQUITY,Consumer Cyclical,QS
Asset Management,Tri Continental Corporation,EQUITY,Financial Services,TY
Packaged Foods,"Lamb Weston Holdings, Inc.",EQUITY,Consumer Defensive,LW
Steel,Reliance Steel & Aluminum Co.,EQUITY,Basic Materials,RS
Chemicals,Celanese Corporation Celanese C,EQUITY,Basic Materials,CE
Engineering & Construction,"Dycom Industries, Inc.",EQUITY,Industrials,DY
Oil & Gas Equipment & Services,Target Hospitality Corp.,EQUITY,Energy,TH
Insurance—Life,Globe Life Inc.,EQUITY,Financial Services,GL
Aerospace & Defense,General Dynamics Corporation,EQUITY,Industrials,GD
Banks—Diversified,Royal Bank Of Canada,EQUITY,Financial Services,RY
Credit Services,Lufax Holding Ltd,EQUITY,Financial Services,LU
Asset Management,"Manning & Napier, Inc.",EQUITY,Financial Services,MN
Specialty Industrial Machinery,Crane Co.,EQUITY,Industrials,CR
Software—Application,ironSource Ltd.,EQUITY,Technology,IS
Household & Personal Products,Colgate-Palmolive Company,EQUITY,Consumer Defensive,CL
Oil & Gas Integrated,Suncor Energy  Inc.,EQUITY,Energy,SU
Gold,"Seabridge Gold, Inc.",EQUITY,Basic Materials,SA
Telecom Services,Vonage Holdings Corp.,EQUITY,Communication Services,VG
Medical Care Facilities,"Mednax, Inc.",EQUITY,Healthcare,MD
Aerospace & Defense,Boeing Company (The),EQUITY,Industrials,BA
Gold,Osisko Gold Royalties Ltd,EQUITY,Basic Materials,OR
Semiconductors,Magnachip Semiconductor Corpora,EQUITY,Technology,MX
Specialty Business Services,"BrightView Holdings, Inc.",EQUITY,Industrials,BV
Health Information Services,"NantHealth, Inc.",EQUITY,Healthcare,NH
Auto Parts,Visteon Corporation,EQUITY,Consumer Cyclical,VC
Apparel Manufacturing,Ralph Lauren Corporation,EQUITY,Consumer Cyclical,RL
Internet Content & Information,TuanChe Limited,EQUITY,Communication Services,TC
Software—Application,Workiva Inc.,EQUITY,Technology,WK
Specialty Industrial Machinery,Hillenbrand Inc,EQUITY,Industrials,HI
Oil & Gas E&P,"SandRidge Energy, Inc.",EQUITY,Energy,SD
Banks—Regional,Silvergate Capital Corporation,EQUITY,Financial Services,SI
Lodging,"Wyndham Hotels & Resorts, Inc.",EQUITY,Consumer Cyclical,WH
Apparel Manufacturing,"Under Armour, Inc.",EQUITY,Consumer Cyclical,UA
Oil & Gas Drilling,"Helmerich & Payne, Inc.",EQUITY,Energy,HP
Banks—Diversified,Toronto Dominion Bank (The),EQUITY,Financial Services,TD
Education & Training Services,17 Education & Technology Group,EQUITY,Consumer Defensive,YQ
Leisure,Drive Shack Inc.,EQUITY,Consumer Cyclical,DS
Specialty Industrial Machinery,"Babcock & Wilcox Enterprises, I",EQUITY,Industrials,BW
REIT—Mortgage,"Dynex Capital, Inc.",EQUITY,Real Estate,DX
Specialty Retail,RH,EQUITY,Consumer Cyclical,RH
Internet Content & Information,"LegalZoom.com, Inc.",EQUITY,Communication Services,LZ
Asset Management,"Korea Fund, Inc. (The) New",EQUITY,Financial Services,KF
Information Technology Services,Chindata Group Holdings Limited,EQUITY,Technology,CD
Asset Management,Brookfield Real Assets Income F,EQUITY,Financial Services,RA
Security & Protection Services,Mistras Group Inc,EQUITY,Industrials,MG
Software—Application,Kingsoft Cloud Holdings Limited,EQUITY,Technology,KC
Tobacco,"Altria Group, Inc.",EQUITY,Consumer Defensive,MO
Gold,Kirkland Lake Gold Ltd.,EQUITY,Basic Materials,KL
Internet Content & Information,NextNav Inc.,EQUITY,Communication Services,NN
REIT—Specialty,Power REIT (MD),EQUITY,Real Estate,PW
REIT—Mortgage,Ready Capital Corproation,EQUITY,Real Estate,RC
Asset Management,The Bank of New York Mellon Cor,EQUITY,Financial Services,BK
Capital Markets,Morgan Stanley,EQUITY,Financial Services,MS
Gold,AngloGold Ashanti Limited,EQUITY,Basic Materials,AU
Specialty Industrial Machinery,Trane Technologies plc,EQUITY,Industrials,TT
Pharmaceutical Retailers,"111, Inc.",EQUITY,Healthcare,YI
Credit Services,LendingClub Corporation,EQUITY,Financial Services,LC
Oil & Gas Integrated,Ecopetrol S.A.,EQUITY,Energy,EC
REIT—Hotel & Motel,Hersha Hospitality Trust,EQUITY,Real Estate,HT
Software—Application,MoneyLion Inc.,EQUITY,Technology,ML
Software—Infrastructure,"Zscaler, Inc.",EQUITY,Technology,ZS
Information Technology Services,"Kyndryl Holdings, Inc.",EQUITY,Technology,KD
Tobacco,Philip Morris International Inc,EQUITY,Consumer Defensive,PM
Metal Fabrication,Ampco-Pittsburgh Corporation,EQUITY,Industrials,AP
Electronic Gaming & Multimedia,Sea Limited,EQUITY,Communication Services,SE
Discount Stores,Dollar General Corporation,EQUITY,Consumer Defensive,DG
Broadcasting,Scienjoy Holding Corporation,EQUITY,Communication Services,SJ
Medical Devices,"Outset Medical, Inc.",EQUITY,Healthcare,OM
Software—Application,Aurora Mobile Limited,EQUITY,Technology,JG
Building Products & Equipment,Quanex Building Products Corpor,EQUITY,Industrials,NX
Apparel Retail,"Foot Locker, Inc.",EQUITY,Consumer Cyclical,FL
Electronic Gaming & Multimedia,Electronic Arts Inc.,EQUITY,Communication Services,EA
Grocery Stores,Kroger Company (The),EQUITY,Consumer Defensive,KR
Security & Protection Services,"NL Industries, Inc.",EQUITY,Industrials,NL
Software—Application,Quhuo Limited - American Deposi,EQUITY,Technology,QH
Internet Content & Information,Outbrain Inc.,EQUITY,Communication Services,OB
Oil & Gas Refining & Marketing,"Delek US Holdings, Inc.",EQUITY,Energy,DK
Marine Shipping,Navios Maritime Holdings Inc.,EQUITY,Industrials,NM
Information Technology Services,Global Blue Group Holding AG,EQUITY,Technology,GB
Auto & Truck Dealerships,"AutoNation, Inc.",EQUITY,Consumer Cyclical,AN
Other Industrial Metals & Mining,MP Materials Corp.,EQUITY,Basic Materials,MP
Real Estate Services,Ucommune International Ltd,EQUITY,Real Estate,UK
Biotechnology,"Equillium, Inc.",EQUITY,Healthcare,EQ
Aerospace & Defense,Planet Labs PBC,EQUITY,Industrials,PL
Specialty Business Services,First Advantage Corporation,EQUITY,Industrials,FA
Capital Markets,Stifel Financial Corporation,EQUITY,Financial Services,SF
Banks—Regional,KB Financial Group Inc,EQUITY,Financial Services,KB
Waste Management,"Waste Management, Inc.",EQUITY,Industrials,WM
Beverages—Non-Alcoholic,Coca-Cola Company (The),EQUITY,Consumer Defensive,KO
Real Estate Services,Kennedy-Wilson Holdings Inc.,EQUITY,Real Estate,KW
Asset Management,PIMCO Dynamic Income Fund,EQUITY,Financial Services,PDI
Asset Management,John Hancock Tax Advantaged Div,EQUITY,Financial Services,HTD
Electronic Components,Wallbox N.V.,EQUITY,Technology,WBX
Uranium,Ur Energy Inc,EQUITY,Energy,URG
Banks—Regional,"Salisbury Bancorp, Inc.",EQUITY,Financial Services,SAL
Asset Management,Pioneer High Income Trust  of B,EQUITY,Financial Services,PHT
Consulting Services,"Equifax, Inc.",EQUITY,Industrials,EFX
Railroads,"Greenbrier Companies, Inc. (The",EQUITY,Industrials,GBX
Information Technology Services,International Business Machines,EQUITY,Technology,IBM
Oil & Gas E&P,Chesapeake Energy Corporation,EQUITY,Energy,CHK
Credit Services,SLM Corporation,EQUITY,Financial Services,SLM
Resorts & Casinos,Bluegreen Vacations Holding Cor,EQUITY,Consumer Cyclical,BVH
Other Industrial Metals & Mining,Largo Inc.,EQUITY,Basic Materials,LGO
Asset Management,Sprott Inc.,EQUITY,Financial Services,SII
Medical Distribution,McKesson Corporation,EQUITY,Healthcare,MCK
Auto Parts,Modine Manufacturing Company,EQUITY,Consumer Cyclical,MOD
Industrial Distribution,Global Industrial Company,EQUITY,Industrials,GIC
Biotechnology,SQZ Biotechnologies Company,EQUITY,Healthcare,SQZ
Gold,"Pretium Resources, Inc.",EQUITY,Basic Materials,PVG
Banks—Regional,Peapack-Gladstone Financial Cor,EQUITY,Financial Services,PGC
Gold,Agnico Eagle Mines Limited,EQUITY,Basic Materials,AEM
Internet Retail,"Solo Brands, Inc.",EQUITY,Consumer Cyclical,DTC
REIT—Retail,Macerich Company (The),EQUITY,Real Estate,MAC
Internet Retail,Meiwu Technology Company Limite,EQUITY,Consumer Cyclical,WNW
Asset Management,Pimco High Income Fund Pimco Hi,EQUITY,Financial Services,PHK
Banks—Regional,Coastal Financial Corporation,EQUITY,Financial Services,CCB
Information Technology Services,Unisys Corporation New,EQUITY,Technology,UIS
Medical Care Facilities,"Oak Street Health, Inc.",EQUITY,Healthcare,OSH
Asset Management,Blackstone GSO Senior Floating ,EQUITY,Financial Services,BSL
Building Materials,CRH PLC,EQUITY,Basic Materials,CRH
Insurance—Life,"Prudential Financial, Inc.",EQUITY,Financial Services,PRU
Advertising Agencies,"Interpublic Group of Companies,",EQUITY,Communication Services,IPG
Tools & Accessories,Timken Company (The),EQUITY,Industrials,TKR
Asset Management,First Trust High Income Long Sh,EQUITY,Financial Services,FSD
Biotechnology,HUTCHMED (China) Limited,EQUITY,Healthcare,HCM
Engineering & Construction,AECOM,EQUITY,Industrials,ACM
Farm & Heavy Construction Machinery,"Titan International, Inc. (DE)",EQUITY,Industrials,TWI
Building Products & Equipment,"Janus International Group, Inc.",EQUITY,Industrials,JBI
Credit Services,"OneMain Holdings, Inc.",EQUITY,Financial Services,OMF
Oil & Gas E&P,California Resources Corporatio,EQUITY,Energy,CRC
Department Stores,"Nordstrom, Inc.",EQUITY,Consumer Cyclical,JWN
Tools & Accessories,Chicago Rivet & Machine Co.,EQUITY,Industrials,CVR
Asset Management,Blackrock Muni Intermediate Dur,EQUITY,Financial Services,MUI
Asset Management,"WhiteHorse Finance, Inc.",EQUITY,Financial Services,WHF
Oil & Gas Drilling,Transocean Ltd (Switzerland),EQUITY,Energy,RIG
Insurance—Property & Casualty,Allstate Corporation (The),EQUITY,Financial Services,ALL
Asset Management,Clough Global Equity Fund Cloug,EQUITY,Financial Services,GLQ
Farm Products,"Village Farms International, In",EQUITY,Consumer Defensive,VFF
Gold,FIORE GOLD INC,EQUITY,Basic Materials,F.V
Personal Services,MEDIFAST INC,EQUITY,Consumer Cyclical,MED
Insurance—Property & Casualty,ProAssurance Corporation,EQUITY,Financial Services,PRA
Biotechnology,"Brickell Biotech, Inc.",EQUITY,Healthcare,BBI
Restaurants,BurgerFi International Inc,EQUITY,Consumer Cyclical,BFI
Information Technology Services,"Computer Task Group, Incorporat",EQUITY,Technology,CTG
Residential Construction,"Century Communities, Inc.",EQUITY,Consumer Cyclical,CCS
REIT—Hotel & Motel,Diamondrock Hospitality Company,EQUITY,Real Estate,DRH
Healthcare Plans,"Bright Health Group, Inc.",EQUITY,Healthcare,BHG
Oil & Gas E&P,Evolution Petroleum Corporation,EQUITY,Energy,EPM
Packaging & Containers,Ball Corporation,EQUITY,Consumer Cyclical,BLL
Engineering & Construction,Tutor Perini Corporation,EQUITY,Industrials,TPC
Gold,Vista Gold Corp,EQUITY,Basic Materials,VGZ
Oil & Gas Refining & Marketing,Ultrapar Participacoes S.A. (Ne,EQUITY,Energy,UGP
Credit Services,Weidai Ltd.,EQUITY,Financial Services,WEI
Insurance Brokers,"Brown & Brown, Inc.",EQUITY,Financial Services,BRO
Lodging,GreenTree Hospitality Group Ltd,EQUITY,Consumer Cyclical,GHG
Recreational Vehicles,"Arcimoto, Inc.",EQUITY,Consumer Cyclical,FUV
Medical Devices,STERIS plc (Ireland),EQUITY,Healthcare,STE
Software—Application,VIQ Solutions Inc.,EQUITY,Technology,VQS
Insurance—Property & Casualty,"HCI Group, Inc.",EQUITY,Financial Services,HCI
Banks—Regional,Banco Macro S.A.,EQUITY,Financial Services,BMA
Auto & Truck Dealerships,"Camping World Holdings, Inc.",EQUITY,Consumer Cyclical,CWH
Insurance—Property & Casualty,White Mountains Insurance Group,EQUITY,Financial Services,WTM
Drug Manufacturers—Specialty & Generic,"Emergent Biosolutions, Inc.",EQUITY,Healthcare,EBS
Chemicals,Sociedad Quimica y Minera S.A.,EQUITY,Basic Materials,SQM
Aerospace & Defense,Transdigm Group Incorporated,EQUITY,Industrials,TDG
Grocery Stores,Dingdong (Cayman) Limited,EQUITY,Consumer Defensive,DDL
Oil & Gas Equipment & Services,Halliburton Company,EQUITY,Energy,HAL
Asset Management,Morgan Stanley Emerging Markets,EQUITY,Financial Services,EDD
Insurance—Life,"Primerica, Inc.",EQUITY,Financial Services,PRI
Restaurants,Domino's Pizza Inc,EQUITY,Consumer Cyclical,DPZ
Oil & Gas E&P,Crescent Point Energy Corporati,EQUITY,Energy,CPG
Health Information Services,"10x Genomics, Inc.",EQUITY,Healthcare,TXG
Real Estate Services,Nam Tai Property Inc.,EQUITY,Real Estate,NTP
Insurance—Diversified,"American International Group, I",EQUITY,Financial Services,AIG
Advertising Agencies,WPP plc,EQUITY,Communication Services,WPP
Asset Management,238549,EQUITY,Financial Services,EAD
Credit Services,Yiren Digital Ltd.,EQUITY,Financial Services,YRD
Rental & Leasing Services,"PROG Holdings, Inc.",EQUITY,Industrials,PRG
Medical Devices,Boston Scientific Corporation,EQUITY,Healthcare,BSX
Oil & Gas Refining & Marketing,NGL ENERGY PARTNERS LP,EQUITY,Energy,NGL
Restaurants,FAT Brands Inc.,EQUITY,Consumer Cyclical,FAT
Asset Management,TeklaLife Sciences Investors,EQUITY,Financial Services,HQL
Advertising Agencies,Integral Ad Science Holding Cor,EQUITY,Communication Services,IAS
Oil & Gas E&P,Occidental Petroleum Corporatio,EQUITY,Energy,OXY
REIT—Mortgage,"Lument Finance Trust, Inc.",EQUITY,Real Estate,LFT
Shell Companies,Integrated Wellness Acquisition,EQUITY,Financial Services,WEL
Conglomerates,"MDU Resources Group, Inc.",EQUITY,Industrials,MDU
Uranium,Denison Mines Corp,EQUITY,Energy,DNN
